"State","HBIPS-2 Measure Description","S HBIPS-2 Overall Rate Per 1000","S HBIPS-2 Overall Num","S HBIPS-2 Overall Den","HBIPS-3 Measure Description","S HBIPS-3 Overall Rate Per 1000","S HBIPS-3 Overall Num","S HBIPS-3 Overall Den","SMD Measure Description","S SMD %","SUB-2/-2a Measure Description","S SUB-2 %","S SUB-2a %","SUB-3/-3a Measure Description","S SUB-3 %","S SUB-3a %","TOB-3/-3a Measure Description","S TOB-3 %","S TOB-3a %","TR-1 Measure Description","S TR-1 %","Start Date","End Date","FAPH Measure Description","S FAPH-30 %","S FAPH-7 %","FAPH Measure Start Date","FAPH Measure End Date","MedCont Measure Description","S MedCont %","MedCont Measure Start Date","MedCont Measure End Date","READM-30-IPF Measure Desc","S READM-30-IPF # IPFs Worse","S READM-30-IPF # IPFs Same","S READM-30-IPF # IPFs Better","S READM-30-IPF # IPFs Too Few","READM-30-IPF Start Date","READM-30-IPF End Date","IMM-2 Measure Description","S IMM-2 %","Flu Season Start Date","Flu Season End Date"
MS,Hours of physical-restraint use,0.64,4488.3,291696,Hours of seclusion use,0.19,1335.67,291696,Screening for metabolic disorders (SMD),89,Alcohol use brief intervention provided or offered,72,92,Alcohol and other drug use disorder treatment provided or offered at discharge,65,60,Tobacco use treatment provided or offered at discharge,57,8,Transition record with specified elements received by discharged patients (TR1),73,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,46.6,23.5,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,76.9,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),4,32,1,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),79,10/01/2023,03/31/2024
MT,Hours of physical-restraint use,0.17,39.79,9731,Hours of seclusion use,0.84,196.15,9731,Screening for metabolic disorders (SMD),86,Alcohol use brief intervention provided or offered,92,95,Alcohol and other drug use disorder treatment provided or offered at discharge,56,21,Tobacco use treatment provided or offered at discharge,92,0,Transition record with specified elements received by discharged patients (TR1),79,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,Not Available,Not Available,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,1,0,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),77,10/01/2023,03/31/2024
NC,Hours of physical-restraint use,0.23,4801.71,863880,Hours of seclusion use,0.11,2329.55,863880,Screening for metabolic disorders (SMD),83,Alcohol use brief intervention provided or offered,64,82,Alcohol and other drug use disorder treatment provided or offered at discharge,85,79,Tobacco use treatment provided or offered at discharge,64,25,Transition record with specified elements received by discharged patients (TR1),53,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,58.2,33.3,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,78.6,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,39,1,3,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),77,10/01/2023,03/31/2024
ND,Hours of physical-restraint use,0.17,394.53,95301,Hours of seclusion use,0.85,1951.39,95301,Screening for metabolic disorders (SMD),61,Alcohol use brief intervention provided or offered,56,62,Alcohol and other drug use disorder treatment provided or offered at discharge,57,32,Tobacco use treatment provided or offered at discharge,38,6,Transition record with specified elements received by discharged patients (TR1),66,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,68.5,37.8,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,82.5,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,5,1,0,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),77,10/01/2023,03/31/2024
NE,Hours of physical-restraint use,0.10,275.31,110243,Hours of seclusion use,0.05,123.41,110243,Screening for metabolic disorders (SMD),95,Alcohol use brief intervention provided or offered,72,77,Alcohol and other drug use disorder treatment provided or offered at discharge,82,70,Tobacco use treatment provided or offered at discharge,53,17,Transition record with specified elements received by discharged patients (TR1),80,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,67.2,44.3,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,82.7,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,6,2,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),90,10/01/2023,03/31/2024
NH,Hours of physical-restraint use,0.49,1331.57,113240,Hours of seclusion use,1.41,3832.77,113240,Screening for metabolic disorders (SMD),93,Alcohol use brief intervention provided or offered,55,71,Alcohol and other drug use disorder treatment provided or offered at discharge,65,52,Tobacco use treatment provided or offered at discharge,59,20,Transition record with specified elements received by discharged patients (TR1),52,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,78,53.1,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,85.3,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,11,1,0,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),65,10/01/2023,03/31/2024
NJ,Hours of physical-restraint use,0.37,8949.73,1008198,Hours of seclusion use,0.10,2356.46,1008198,Screening for metabolic disorders (SMD),91,Alcohol use brief intervention provided or offered,64,85,Alcohol and other drug use disorder treatment provided or offered at discharge,90,82,Tobacco use treatment provided or offered at discharge,67,23,Transition record with specified elements received by discharged patients (TR1),78,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,61,38.6,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,82.6,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),1,32,1,5,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),86,10/01/2023,03/31/2024
NM,Hours of physical-restraint use,0.10,317.34,127660,Hours of seclusion use,0.07,220.13,127660,Screening for metabolic disorders (SMD),88,Alcohol use brief intervention provided or offered,75,91,Alcohol and other drug use disorder treatment provided or offered at discharge,69,52,Tobacco use treatment provided or offered at discharge,72,36,Transition record with specified elements received by discharged patients (TR1),80,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,62.1,35,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,73,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,8,0,0,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),73,10/01/2023,03/31/2024
NV,Hours of physical-restraint use,0.10,521.79,224957,Hours of seclusion use,0.17,914.56,224957,Screening for metabolic disorders (SMD),72,Alcohol use brief intervention provided or offered,35,77,Alcohol and other drug use disorder treatment provided or offered at discharge,60,55,Tobacco use treatment provided or offered at discharge,36,11,Transition record with specified elements received by discharged patients (TR1),52,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,47.8,26.6,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,69.1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),8,7,0,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),68,10/01/2023,03/31/2024
NY,Hours of physical-restraint use,0.23,12926.76,2383188,Hours of seclusion use,0.17,9653.16,2383188,Screening for metabolic disorders (SMD),84,Alcohol use brief intervention provided or offered,54,74,Alcohol and other drug use disorder treatment provided or offered at discharge,76,59,Tobacco use treatment provided or offered at discharge,47,16,Transition record with specified elements received by discharged patients (TR1),68,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,65.9,46.3,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,82.8,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,67,4,16,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),78,10/01/2023,03/31/2024
OH,Hours of physical-restraint use,0.11,3473.06,1313038,Hours of seclusion use,0.21,6761.94,1313038,Screening for metabolic disorders (SMD),81,Alcohol use brief intervention provided or offered,64,76,Alcohol and other drug use disorder treatment provided or offered at discharge,68,54,Tobacco use treatment provided or offered at discharge,59,15,Transition record with specified elements received by discharged patients (TR1),64,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,59.1,34.5,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,76.6,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,65,1,4,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),75,10/01/2023,03/31/2024
OK,Hours of physical-restraint use,0.04,260.12,255841,Hours of seclusion use,0.16,1009.95,255841,Screening for metabolic disorders (SMD),80,Alcohol use brief intervention provided or offered,39,74,Alcohol and other drug use disorder treatment provided or offered at discharge,53,49,Tobacco use treatment provided or offered at discharge,36,8,Transition record with specified elements received by discharged patients (TR1),71,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,56.7,31.2,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,73.3,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,24,1,0,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),76,10/01/2023,03/31/2024
OR,Hours of physical-restraint use,0.38,2440.31,266693,Hours of seclusion use,5.17,33064.07,266693,Screening for metabolic disorders (SMD),76,Alcohol use brief intervention provided or offered,27,62,Alcohol and other drug use disorder treatment provided or offered at discharge,59,42,Tobacco use treatment provided or offered at discharge,48,4,Transition record with specified elements received by discharged patients (TR1),24,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,59.1,32.4,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,80.1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,12,0,0,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),65,10/01/2023,03/31/2024
PA,Hours of physical-restraint use,0.49,17007.27,1438487,Hours of seclusion use,0.18,6371.41,1438487,Screening for metabolic disorders (SMD),80,Alcohol use brief intervention provided or offered,56,57,Alcohol and other drug use disorder treatment provided or offered at discharge,72,52,Tobacco use treatment provided or offered at discharge,60,15,Transition record with specified elements received by discharged patients (TR1),70,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,62.5,38.3,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,81.4,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,64,1,4,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),81,10/01/2023,03/31/2024
PR,Hours of physical-restraint use,0.13,462.67,144068,Hours of seclusion use,0.03,118.3,144068,Screening for metabolic disorders (SMD),57,Alcohol use brief intervention provided or offered,15,94,Alcohol and other drug use disorder treatment provided or offered at discharge,77,76,Tobacco use treatment provided or offered at discharge,32,28,Transition record with specified elements received by discharged patients (TR1),46,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,35.2,17.6,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,2,0,6,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),47,10/01/2023,03/31/2024
RI,Hours of physical-restraint use,1.01,2489.6,102889,Hours of seclusion use,0.38,931.52,102889,Screening for metabolic disorders (SMD),86,Alcohol use brief intervention provided or offered,90,90,Alcohol and other drug use disorder treatment provided or offered at discharge,96,85,Tobacco use treatment provided or offered at discharge,38,9,Transition record with specified elements received by discharged patients (TR1),81,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,59,33.4,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,79.8,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),1,6,0,0,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),86,10/01/2023,03/31/2024
SC,Hours of physical-restraint use,0.06,653.42,463423,Hours of seclusion use,0.47,5273.01,463423,Screening for metabolic disorders (SMD),88,Alcohol use brief intervention provided or offered,74,78,Alcohol and other drug use disorder treatment provided or offered at discharge,82,77,Tobacco use treatment provided or offered at discharge,52,10,Transition record with specified elements received by discharged patients (TR1),60,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,62.4,36,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,76.3,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,22,0,3,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),75,10/01/2023,03/31/2024
SD,Hours of physical-restraint use,0.18,70.09,15815,Hours of seclusion use,0.42,160.68,15815,Screening for metabolic disorders (SMD),88,Alcohol use brief intervention provided or offered,52,44,Alcohol and other drug use disorder treatment provided or offered at discharge,36,22,Tobacco use treatment provided or offered at discharge,65,1,Transition record with specified elements received by discharged patients (TR1),49,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,59.4,31.7,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,77.6,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,3,0,0,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),71,10/01/2023,03/31/2024
TN,Hours of physical-restraint use,0.31,5251.12,708083,Hours of seclusion use,0.13,2149.78,708083,Screening for metabolic disorders (SMD),74,Alcohol use brief intervention provided or offered,38,62,Alcohol and other drug use disorder treatment provided or offered at discharge,66,41,Tobacco use treatment provided or offered at discharge,62,4,Transition record with specified elements received by discharged patients (TR1),64,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,59.2,32.7,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,77.6,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),4,37,0,5,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),79,10/01/2023,03/31/2024
TX,Hours of physical-restraint use,0.07,3518.64,2125313,Hours of seclusion use,0.32,16416.08,2125313,Screening for metabolic disorders (SMD),79,Alcohol use brief intervention provided or offered,60,72,Alcohol and other drug use disorder treatment provided or offered at discharge,73,56,Tobacco use treatment provided or offered at discharge,66,18,Transition record with specified elements received by discharged patients (TR1),71,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,59.7,35.4,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,73.5,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),8,79,1,6,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),73,10/01/2023,03/31/2024
UT,Hours of physical-restraint use,2.25,10644.75,197121,Hours of seclusion use,0.48,2254.79,197121,Screening for metabolic disorders (SMD),93,Alcohol use brief intervention provided or offered,81,90,Alcohol and other drug use disorder treatment provided or offered at discharge,92,78,Tobacco use treatment provided or offered at discharge,77,34,Transition record with specified elements received by discharged patients (TR1),75,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,70.1,43.8,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,75,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,15,0,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),80,10/01/2023,03/31/2024
VA,Hours of physical-restraint use,0.90,13269.75,613547,Hours of seclusion use,0.45,6603.23,613547,Screening for metabolic disorders (SMD),88,Alcohol use brief intervention provided or offered,60,75,Alcohol and other drug use disorder treatment provided or offered at discharge,70,65,Tobacco use treatment provided or offered at discharge,47,26,Transition record with specified elements received by discharged patients (TR1),39,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,57.8,33.2,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,76.4,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),4,33,0,0,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),81,10/01/2023,03/31/2024
VT,Hours of physical-restraint use,0.59,559.9,39741,Hours of seclusion use,0.46,438.78,39741,Screening for metabolic disorders (SMD),27,Alcohol use brief intervention provided or offered,68,37,Alcohol and other drug use disorder treatment provided or offered at discharge,87,83,Tobacco use treatment provided or offered at discharge,28,0,Transition record with specified elements received by discharged patients (TR1),71,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,81.6,55.3,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,77.7,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,2,0,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),40,10/01/2023,03/31/2024
WA,Hours of physical-restraint use,1.02,9955.52,406495,Hours of seclusion use,5.11,49849.28,406495,Screening for metabolic disorders (SMD),76,Alcohol use brief intervention provided or offered,42,66,Alcohol and other drug use disorder treatment provided or offered at discharge,59,40,Tobacco use treatment provided or offered at discharge,41,7,Transition record with specified elements received by discharged patients (TR1),55,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,52.8,28.5,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,77.8,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,15,3,2,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),70,10/01/2023,03/31/2024
WI,Hours of physical-restraint use,0.59,4501.27,318979,Hours of seclusion use,0.99,7606,318979,Screening for metabolic disorders (SMD),65,Alcohol use brief intervention provided or offered,71,75,Alcohol and other drug use disorder treatment provided or offered at discharge,67,57,Tobacco use treatment provided or offered at discharge,37,8,Transition record with specified elements received by discharged patients (TR1),46,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,60.1,32,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,86.7,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,27,0,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),71,10/01/2023,03/31/2024
WV,Hours of physical-restraint use,0.20,1189.95,249377,Hours of seclusion use,0.07,406.24,249377,Screening for metabolic disorders (SMD),96,Alcohol use brief intervention provided or offered,67,86,Alcohol and other drug use disorder treatment provided or offered at discharge,84,76,Tobacco use treatment provided or offered at discharge,62,11,Transition record with specified elements received by discharged patients (TR1),74,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,62.3,31.9,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,84.1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,12,1,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),79,10/01/2023,03/31/2024
WY,Hours of physical-restraint use,0.05,34.56,28691,Hours of seclusion use,0.06,41.55,28691,Screening for metabolic disorders (SMD),95,Alcohol use brief intervention provided or offered,88,90,Alcohol and other drug use disorder treatment provided or offered at discharge,74,72,Tobacco use treatment provided or offered at discharge,74,16,Transition record with specified elements received by discharged patients (TR1),88,01/01/2023,12/31/2023,Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization,49.7,25.7,07/01/2022,06/30/2023,Medication Continuation Following Inpatient Psychiatric Discharge,65.1,07/01/2021,06/30/2023,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),0,4,0,1,07/01/2021,06/30/2023,Influenza immunization (IPFQR-IMM-2),89,10/01/2023,03/31/2024
