facility_id,facility_name,address,city_town,state,zip_code,county_parish,telephone_number,condition,measure_id,measure_name,score,sample,footnote,start_date,end_date
010779,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,BULLOCK,(334) 738-2140,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",108,148,3,01/01/2024,12/31/2024
010779,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,BULLOCK,(334) 738-2140,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",108,134,3,01/01/2024,12/31/2024
010779,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,BULLOCK,(334) 738-2140,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,Not Available,Not Available,"1, 3",01/01/2024,12/31/2024
010779,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,BULLOCK,(334) 738-2140,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,Not Available,Not Available,"1, 3",01/01/2024,12/31/2024
010780,EAMC - LANIER,4800 48TH STREET,VALLEY,AL,36854,CHAMBERS,(334) 756-9180,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",Not Available,Not Available,5,01/01/2024,12/31/2024
010780,EAMC - LANIER,4800 48TH STREET,VALLEY,AL,36854,CHAMBERS,(334) 756-9180,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",Not Available,Not Available,5,01/01/2024,12/31/2024
010780,EAMC - LANIER,4800 48TH STREET,VALLEY,AL,36854,CHAMBERS,(334) 756-9180,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,Not Available,Not Available,5,01/01/2024,12/31/2024
010780,EAMC - LANIER,4800 48TH STREET,VALLEY,AL,36854,CHAMBERS,(334) 756-9180,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,Not Available,Not Available,5,01/01/2024,12/31/2024
040779,ST BERNARDS FIVE RIVERS MEDICAL CENTER,2801 MEDICAL CENTER DRIVE,POCAHONTAS,AR,72455,RANDOLPH,(870) 892-6000,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",148,384,,01/01/2024,12/31/2024
040779,ST BERNARDS FIVE RIVERS MEDICAL CENTER,2801 MEDICAL CENTER DRIVE,POCAHONTAS,AR,72455,RANDOLPH,(870) 892-6000,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",105,220,,01/01/2024,12/31/2024
040779,ST BERNARDS FIVE RIVERS MEDICAL CENTER,2801 MEDICAL CENTER DRIVE,POCAHONTAS,AR,72455,RANDOLPH,(870) 892-6000,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,154,11,,01/01/2024,12/31/2024
040779,ST BERNARDS FIVE RIVERS MEDICAL CENTER,2801 MEDICAL CENTER DRIVE,POCAHONTAS,AR,72455,RANDOLPH,(870) 892-6000,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,220,158,,01/01/2024,12/31/2024
040780,EUREKA SPRINGS HOSPITAL COMMISSION,24 NORRIS STREET,EUREKA SPRINGS,AR,72632,CARROLL,(479) 253-7400,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",107,269,,01/01/2024,12/31/2024
040780,EUREKA SPRINGS HOSPITAL COMMISSION,24 NORRIS STREET,EUREKA SPRINGS,AR,72632,CARROLL,(479) 253-7400,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",103,233,,01/01/2024,12/31/2024
040780,EUREKA SPRINGS HOSPITAL COMMISSION,24 NORRIS STREET,EUREKA SPRINGS,AR,72632,CARROLL,(479) 253-7400,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,174,11,,01/01/2024,12/31/2024
040780,EUREKA SPRINGS HOSPITAL COMMISSION,24 NORRIS STREET,EUREKA SPRINGS,AR,72632,CARROLL,(479) 253-7400,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,212,28,,01/01/2024,12/31/2024
040781,HELENA REGIONAL MEDICAL CENTER,1801 MARTIN LUTHER KING JR DRIVE,HELENA,AR,72342,PHILLIPS,(870) 338-5800,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",135,391,,01/01/2024,12/31/2024
040781,HELENA REGIONAL MEDICAL CENTER,1801 MARTIN LUTHER KING JR DRIVE,HELENA,AR,72342,PHILLIPS,(870) 338-5800,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",117,330,,01/01/2024,12/31/2024
040781,HELENA REGIONAL MEDICAL CENTER,1801 MARTIN LUTHER KING JR DRIVE,HELENA,AR,72342,PHILLIPS,(870) 338-5800,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,259,19,,01/01/2024,12/31/2024
040781,HELENA REGIONAL MEDICAL CENTER,1801 MARTIN LUTHER KING JR DRIVE,HELENA,AR,72342,PHILLIPS,(870) 338-5800,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,326,44,,01/01/2024,12/31/2024
040782,SOUTH MISSISSIPPI COUNTY REGIONAL MEDICAL CENTER,611 WEST LEE AVENUE,OSCEOLA,AR,72370,MISSISSIPPI,(870) 563-7000,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",104,374,,01/01/2024,12/31/2024
040782,SOUTH MISSISSIPPI COUNTY REGIONAL MEDICAL CENTER,611 WEST LEE AVENUE,OSCEOLA,AR,72370,MISSISSIPPI,(870) 563-7000,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",92,320,,01/01/2024,12/31/2024
040782,SOUTH MISSISSIPPI COUNTY REGIONAL MEDICAL CENTER,611 WEST LEE AVENUE,OSCEOLA,AR,72370,MISSISSIPPI,(870) 563-7000,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,371,11,,01/01/2024,12/31/2024
040782,SOUTH MISSISSIPPI COUNTY REGIONAL MEDICAL CENTER,611 WEST LEE AVENUE,OSCEOLA,AR,72370,MISSISSIPPI,(870) 563-7000,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,242,46,,01/01/2024,12/31/2024
040783,"DEWITT HOSPITAL & NURSING HOME, INC",1641 WHITEHEAD DRIVE,DE WITT,AR,72042,ARKANSAS,(870) 946-3571,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",Not Available,Not Available,5,01/01/2024,12/31/2024
040783,"DEWITT HOSPITAL & NURSING HOME, INC",1641 WHITEHEAD DRIVE,DE WITT,AR,72042,ARKANSAS,(870) 946-3571,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",Not Available,Not Available,5,01/01/2024,12/31/2024
040783,"DEWITT HOSPITAL & NURSING HOME, INC",1641 WHITEHEAD DRIVE,DE WITT,AR,72042,ARKANSAS,(870) 946-3571,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,Not Available,Not Available,5,01/01/2024,12/31/2024
040783,"DEWITT HOSPITAL & NURSING HOME, INC",1641 WHITEHEAD DRIVE,DE WITT,AR,72042,ARKANSAS,(870) 946-3571,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,Not Available,Not Available,5,01/01/2024,12/31/2024
110779,IRWIN COUNTY HOSPITAL,710 N IRWIN AVENUE,OCILLA,GA,31774,IRWIN,(229) 468-3845,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",99,381,,01/01/2024,12/31/2024
110779,IRWIN COUNTY HOSPITAL,710 N IRWIN AVENUE,OCILLA,GA,31774,IRWIN,(229) 468-3845,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",96,364,,01/01/2024,12/31/2024
110779,IRWIN COUNTY HOSPITAL,710 N IRWIN AVENUE,OCILLA,GA,31774,IRWIN,(229) 468-3845,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,Not Available,Not Available,1,01/01/2024,12/31/2024
110779,IRWIN COUNTY HOSPITAL,710 N IRWIN AVENUE,OCILLA,GA,31774,IRWIN,(229) 468-3845,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,Not Available,Not Available,1,01/01/2024,12/31/2024
110780,BLUE RIDGE MEDICAL CENTER,2855 OLD HIGHWAY 5 NORTH,BLUE RIDGE,GA,30513,FANNIN,(706) 632-3711,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",114,107,3,01/01/2024,12/31/2024
110780,BLUE RIDGE MEDICAL CENTER,2855 OLD HIGHWAY 5 NORTH,BLUE RIDGE,GA,30513,FANNIN,(706) 632-3711,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",108,96,3,01/01/2024,12/31/2024
110780,BLUE RIDGE MEDICAL CENTER,2855 OLD HIGHWAY 5 NORTH,BLUE RIDGE,GA,30513,FANNIN,(706) 632-3711,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,Not Available,Not Available,"1, 3",01/01/2024,12/31/2024
110780,BLUE RIDGE MEDICAL CENTER,2855 OLD HIGHWAY 5 NORTH,BLUE RIDGE,GA,30513,FANNIN,(706) 632-3711,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,Not Available,Not Available,"1, 3",01/01/2024,12/31/2024
110781,TAYLOR REGIONAL HOSPITAL,222 PERRY HWY,HAWKINSVILLE,GA,31036,PULASKI,(478) 783-0200,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",201,211,3,01/01/2024,12/31/2024
110781,TAYLOR REGIONAL HOSPITAL,222 PERRY HWY,HAWKINSVILLE,GA,31036,PULASKI,(478) 783-0200,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",176,188,3,01/01/2024,12/31/2024
110781,TAYLOR REGIONAL HOSPITAL,222 PERRY HWY,HAWKINSVILLE,GA,31036,PULASKI,(478) 783-0200,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,Not Available,Not Available,"1, 3",01/01/2024,12/31/2024
110781,TAYLOR REGIONAL HOSPITAL,222 PERRY HWY,HAWKINSVILLE,GA,31036,PULASKI,(478) 783-0200,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,372,19,3,01/01/2024,12/31/2024
130779,CASCADE MEDICAL CENTER,402 LAKE CASCADE PARKWAY,CASCADE,ID,83611,VALLEY,(208) 382-4242,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",Not Available,Not Available,5,01/01/2024,12/31/2024
130779,CASCADE MEDICAL CENTER,402 LAKE CASCADE PARKWAY,CASCADE,ID,83611,VALLEY,(208) 382-4242,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",Not Available,Not Available,5,01/01/2024,12/31/2024
130779,CASCADE MEDICAL CENTER,402 LAKE CASCADE PARKWAY,CASCADE,ID,83611,VALLEY,(208) 382-4242,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,Not Available,Not Available,5,01/01/2024,12/31/2024
130779,CASCADE MEDICAL CENTER,402 LAKE CASCADE PARKWAY,CASCADE,ID,83611,VALLEY,(208) 382-4242,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,Not Available,Not Available,5,01/01/2024,12/31/2024
170779,SOUTH CENTRAL KANSAS MEDICAL CENTER,6401 PATTERSON PARKWAY,ARKANSAS CITY,KS,67005,COWLEY,(620) 442-2500,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",107,282,,01/01/2024,12/31/2024
170779,SOUTH CENTRAL KANSAS MEDICAL CENTER,6401 PATTERSON PARKWAY,ARKANSAS CITY,KS,67005,COWLEY,(620) 442-2500,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",100,248,,01/01/2024,12/31/2024
170779,SOUTH CENTRAL KANSAS MEDICAL CENTER,6401 PATTERSON PARKWAY,ARKANSAS CITY,KS,67005,COWLEY,(620) 442-2500,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,178,11,,01/01/2024,12/31/2024
170779,SOUTH CENTRAL KANSAS MEDICAL CENTER,6401 PATTERSON PARKWAY,ARKANSAS CITY,KS,67005,COWLEY,(620) 442-2500,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,334,25,,01/01/2024,12/31/2024
170780,"MERCY HOSPITAL, INC",218 E PACK STREET,MOUNDRIDGE,KS,67107,MCPHERSON,(620) 345-6391,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",116,310,,01/01/2024,12/31/2024
170780,"MERCY HOSPITAL, INC",218 E PACK STREET,MOUNDRIDGE,KS,67107,MCPHERSON,(620) 345-6391,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",107,268,,01/01/2024,12/31/2024
170780,"MERCY HOSPITAL, INC",218 E PACK STREET,MOUNDRIDGE,KS,67107,MCPHERSON,(620) 345-6391,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,Not Available,Not Available,1,01/01/2024,12/31/2024
170780,"MERCY HOSPITAL, INC",218 E PACK STREET,MOUNDRIDGE,KS,67107,MCPHERSON,(620) 345-6391,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,219,38,,01/01/2024,12/31/2024
170781,RUSH COUNTY MEMORIAL HOSPITAL,801 LOCUST ST,LA CROSSE,KS,67548,RUSH,(785) 222-2545,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",104,126,3,01/01/2024,12/31/2024
170781,RUSH COUNTY MEMORIAL HOSPITAL,801 LOCUST ST,LA CROSSE,KS,67548,RUSH,(785) 222-2545,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",88,110,3,01/01/2024,12/31/2024
170781,RUSH COUNTY MEMORIAL HOSPITAL,801 LOCUST ST,LA CROSSE,KS,67548,RUSH,(785) 222-2545,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,Not Available,Not Available,"1, 3",01/01/2024,12/31/2024
170781,RUSH COUNTY MEMORIAL HOSPITAL,801 LOCUST ST,LA CROSSE,KS,67548,RUSH,(785) 222-2545,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,Not Available,Not Available,"1, 3",01/01/2024,12/31/2024
180779,CRITTENDEN COMMUNITY HOSPITAL,520 WEST GUM STREET,MARION,KY,42064,CRITTENDEN,(270) 965-5281,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",92,65,3,01/01/2024,12/31/2024
180779,CRITTENDEN COMMUNITY HOSPITAL,520 WEST GUM STREET,MARION,KY,42064,CRITTENDEN,(270) 965-5281,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",91,60,3,01/01/2024,12/31/2024
180779,CRITTENDEN COMMUNITY HOSPITAL,520 WEST GUM STREET,MARION,KY,42064,CRITTENDEN,(270) 965-5281,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,Not Available,Not Available,"1, 3",01/01/2024,12/31/2024
180779,CRITTENDEN COMMUNITY HOSPITAL,520 WEST GUM STREET,MARION,KY,42064,CRITTENDEN,(270) 965-5281,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,Not Available,Not Available,"1, 3",01/01/2024,12/31/2024
190779,ASSUMPTION COMMUNITY HOSPITAL,135 HIGHWAY 402,NAPOLEONVILLE,LA,70390,ASSUMPTION,(985) 369-3600,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",85,401,,01/01/2024,12/31/2024
190779,ASSUMPTION COMMUNITY HOSPITAL,135 HIGHWAY 402,NAPOLEONVILLE,LA,70390,ASSUMPTION,(985) 369-3600,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",82,383,,01/01/2024,12/31/2024
190779,ASSUMPTION COMMUNITY HOSPITAL,135 HIGHWAY 402,NAPOLEONVILLE,LA,70390,ASSUMPTION,(985) 369-3600,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,190,17,,01/01/2024,12/31/2024
190779,ASSUMPTION COMMUNITY HOSPITAL,135 HIGHWAY 402,NAPOLEONVILLE,LA,70390,ASSUMPTION,(985) 369-3600,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,Not Available,Not Available,1,01/01/2024,12/31/2024
230779,STURGIS HOSPITAL,916 MYRTLE AVE,STURGIS,MI,49091,ST. JOSEPH,(269) 651-7824,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",104,563,,01/01/2024,12/31/2024
230779,STURGIS HOSPITAL,916 MYRTLE AVE,STURGIS,MI,49091,ST. JOSEPH,(269) 651-7824,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",58,236,,01/01/2024,12/31/2024
230779,STURGIS HOSPITAL,916 MYRTLE AVE,STURGIS,MI,49091,ST. JOSEPH,(269) 651-7824,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,232,327,,01/01/2024,12/31/2024
230779,STURGIS HOSPITAL,916 MYRTLE AVE,STURGIS,MI,49091,ST. JOSEPH,(269) 651-7824,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,Not Available,Not Available,7,01/01/2024,12/31/2024
240779,MAHNOMEN HEALTH CENTER,414 W JEFFERSON PO BOX 396,MAHNOMEN,MN,56557,MAHNOMEN,(218) 935-2511,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",87,249,,01/01/2024,12/31/2024
240779,MAHNOMEN HEALTH CENTER,414 W JEFFERSON PO BOX 396,MAHNOMEN,MN,56557,MAHNOMEN,(218) 935-2511,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",58,170,,01/01/2024,12/31/2024
240779,MAHNOMEN HEALTH CENTER,414 W JEFFERSON PO BOX 396,MAHNOMEN,MN,56557,MAHNOMEN,(218) 935-2511,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,163,52,,01/01/2024,12/31/2024
240779,MAHNOMEN HEALTH CENTER,414 W JEFFERSON PO BOX 396,MAHNOMEN,MN,56557,MAHNOMEN,(218) 935-2511,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,182,33,,01/01/2024,12/31/2024
250780,JEFFERSON COUNTY HOSPITAL,870 S MAIN,FAYETTE,MS,39069,JEFFERSON,(601) 786-3401,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",Not Available,Not Available,5,01/01/2024,12/31/2024
250780,JEFFERSON COUNTY HOSPITAL,870 S MAIN,FAYETTE,MS,39069,JEFFERSON,(601) 786-3401,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",Not Available,Not Available,5,01/01/2024,12/31/2024
250780,JEFFERSON COUNTY HOSPITAL,870 S MAIN,FAYETTE,MS,39069,JEFFERSON,(601) 786-3401,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,Not Available,Not Available,5,01/01/2024,12/31/2024
250780,JEFFERSON COUNTY HOSPITAL,870 S MAIN,FAYETTE,MS,39069,JEFFERSON,(601) 786-3401,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,Not Available,Not Available,5,01/01/2024,12/31/2024
